"MedID","Med_Name","Company","Manf_year","Exp_date","Quantity_in_stock","Sales"
1,"MedA","Comp1",2018,2023-12-31,100,5000
2,"MedB","Comp2",2019,2024-06-30,150,7000
3,"MedC","Comp1",2018,2023-11-30,200,6000
4,"MedD","Comp3",2020,2025-01-31,120,8000
5,"MedE","Comp2",2019,2024-05-31,180,7500
6,"MedF","Comp4",2021,2026-12-31,160,9000
7,"MedG","Comp3",2020,2025-03-31,140,8500
8,"MedH","Comp1",2018,2023-10-31,130,6500
9,"MedI","Comp4",2021,2026-11-30,170,9500
10,"MedJ","Comp2",2019,2024-07-31,110,7200
