City,Local Time,Weather,Temperature
Accra,09.09,Overcast. Mild.,24 °C
Kuala Lumpur,17.09,Passing clouds. Hot.,33 °C
Addis Ababa,12.09,Fog. Cool.,15 °C
Kuwait City,12.09,Sunny. Extremely hot.,41 °C
Adelaide,18.39,Cool.,16 °C
Kyiv,12.09,Sunny. Cool.,13 °C
Algiers,10.09,Partly sunny. Warm.,29 °C
La Paz,05.09,Low clouds. Chilly.,4 °C
Almaty,14.09,Passing clouds. Pleasantly warm.,29 °C
Lagos,10.09,Scattered clouds. Warm.,26 °C
Amman,12.09,Clear. Pleasantly warm.,29 °C
Lahore,14.09,Broken clouds. Warm.,25 °C
Amsterdam,11.09,Passing clouds. Mild.,17 °C
Las Vegas,02.09,Passing clouds. Hot.,33 °C
Anadyr,21.09,Overcast. Quite cool.,7 °C
Lima,04.09,Fog. Cool.,16 °C
Anchorage,01.09,Overcast. Cool.,15 °C
Lisbon,10.09,Passing clouds. Mild.,20 °C
Ankara,12.09,Scattered clouds. Mild.,24 °C
London,10.09,Sunny. Mild.,20 °C
Antananarivo,12.09,Passing clouds. Mild.,24 °C
Los Angeles,02.09,Clear. Mild.,22 °C
Asuncion,06.09,Overcast. Cool.,9 °C
Madrid,11.09,Sunny. Pleasantly warm.,25 °C
Athens,12.09,Passing clouds. Pleasantly warm.,27 °C
Manila,17.09,Sprinkles. Overcast. Warm.,28 °C
Atlanta,05.09,Clear. Mild.,21 °C
Melbourne,19.09,Clear. Refreshingly cool.,15 °C
Auckland,21.09,Clear. Cool.,11 °C
Mexico City,03.09,Passing clouds. Mild.,17 °C
Bangkok,16.09,Scattered clouds. Hot.,32 °C
Miami,05.09,Passing clouds. Warm.,26 °C
Barcelona,11.09,Passing clouds. Warm.,25 °C
Minneapolis,04.09,Clear. Cool.,14 °C
Beijing,17.09,Hot.,32 °C
Minsk,12.09,Partly sunny. Cool.,12 °C
Beirut,12.09,Clear. Warm.,30 °C
Montevideo,06.09,Clear. Cool.,9 °C
Belgrade,11.09,Sunny. Cool.,16 °C
Montréal,05.09,Passing clouds. Mild.,21 °C
Bengaluru,14.39,Scattered clouds. Warm.,28 °C
Moscow,12.09,Passing clouds. Cool.,14 °C
Berlin,11.09,Overcast. Cool.,14 °C
Mumbai,14.39,Drizzle. Overcast. Warm.,26 °C
Bogota,04.09,Passing clouds. Cool.,11 °C
Nairobi,12.09,Partly sunny. Mild.,20 °C
Boston,05.09,Fog. Mild.,18 °C
Nassau,05.09,Partly cloudy. Warm.,27 °C
Brasilia,06.09,Clear. Cool.,14 °C
New Delhi,14.39,Light rain. Overcast. Warm.,28 °C
Brisbane,19.09,Refreshingly cool.,21 °C
New Orleans,04.09,Clear. Warm.,30 °C
Brussels,11.09,Passing clouds. Mild.,18 °C
New York,05.09,Passing clouds. Mild.,22 °C
Bucharest,12.09,Partly sunny. Mild.,19 °C
Oslo,11.09,Passing clouds. Cool.,12 °C
Budapest,11.09,Passing clouds. Mild.,21 °C
Ottawa,05.09,Passing clouds. Cool.,14 °C
Buenos Aires,06.09,Clear. Cool.,12 °C
Paris,11.09,Passing clouds. Mild.,21 °C
Cairo,12.09,Sunny. Warm.,31 °C
Perth,17.09,Scattered showers. Clear. Cool.,9 °C
Calgary,03.09,Clear. Cool.,13 °C
Philadelphia,05.09,Partly cloudy. Mild.,22 °C
Canberra,19.09,Clear. Cool.,14 °C
Phoenix,02.09,Thunderstorms. Passing clouds. Extremely hot.,36 °C
Cape Town,11.09,Scattered clouds. Refreshingly cool.,15 °C
Prague,11.09,Passing clouds. Mild.,18 °C
Caracas,05.09,Passing clouds. Warm.,25 °C
Reykjavik,09.09,Overcast. Cool.,14 °C
Casablanca,10.09,Scattered clouds. Mild.,24 °C
Rio de Janeiro,06.09,Mostly cloudy. Mild.,21 °C
Chicago,04.09,Clear. Cool.,16 °C
Riyadh,12.09,Sunny. Extremely hot.,41 °C
Copenhagen,11.09,Partly sunny. Cool.,16 °C
Rome,11.09,Passing clouds. Warm.,25 °C
Dallas,04.09,Passing clouds. Warm.,27 °C
Salt Lake City,03.09,Passing clouds. Mild.,22 °C
Dar es Salaam,12.09,Scattered clouds. Warm.,28 °C
San Francisco,02.09,Passing clouds. Cool.,16 °C
Darwin,18.39,Sunny. Warm.,28 °C
San Juan,05.09,Passing clouds. Warm.,28 °C
Denver,03.09,Passing clouds. Cool.,16 °C
San Salvador,03.09,Passing clouds. Mild.,23 °C
Detroit,05.09,Clear. Cool.,14 °C
Santiago,05.09,Clear. Chilly.,3 °C
Dhaka,15.09,Low clouds. Hot.,33 °C
Santo Domingo,05.09,Passing clouds. Warm.,28 °C
Doha,12.09,Passing clouds. Extremely hot.,46 °C
São Paulo,06.09,Low clouds. Cool.,15 °C
Dubai,13.09,Passing clouds. Extremely hot.,41 °C
Seattle,02.09,Clear. Mild.,22 °C
Dublin,10.09,Passing clouds. Mild.,19 °C
Seoul,18.09,Partly sunny. Warm.,31 °C
Edmonton,03.09,Clear. Cool.,9 °C
Shanghai,17.09,Sunny. Warm.,27 °C
Frankfurt,11.09,Passing clouds. Mild.,18 °C
Singapore,17.09,Partly sunny. Hot.,33 °C
Guatemala City,03.09,Passing clouds. Mild.,18 °C
Sofia,12.09,Partly sunny. Cool.,14 °C
Halifax,06.09,Low clouds. Mild.,18 °C
St. John's,06.39,Broken clouds. Cool.,16 °C
Hanoi,16.09,Rain. Overcast. Warm.,25 °C
Stockholm,11.09,Partly sunny. Cool.,14 °C
Harare,11.09,Sunny. Mild.,17 °C
Suva,21.09,Passing clouds. Warm.,26 °C
Havana,05.09,Passing clouds. Warm.,25 °C
Sydney,19.09,Partly cloudy. Mild.,18 °C
Helsinki,12.09,Scattered clouds. Cool.,13 °C
Taipei,17.09,Passing clouds. Extremely hot.,34 °C
Hong Kong,17.09,Passing clouds. Warm.,31 °C
Tallinn,12.09,Sprinkles. Broken clouds. Cool.,12 °C
Honolulu,23.09,Passing clouds. Warm.,26 °C
Tashkent,14.09,Clear. Extremely hot.,36 °C
Houston,04.09,Passing clouds. Warm.,27 °C
Tegucigalpa,03.09,Passing clouds. Mild.,20 °C
Indianapolis,05.09,Clear. Cool.,15 °C
Tehran,12.39,Sunny. Extremely hot.,35 °C
Islamabad,14.09,Haze. Warm.,30 °C
Tokyo,18.09,Scattered clouds. Hot.,33 °C
Istanbul,12.09,Scattered clouds. Warm.,27 °C
Toronto,05.09,Passing clouds. Cool.,15 °C
Jakarta,16.09,Overcast. Warm.,30 °C
Vancouver,02.09,Clear. Mild.,18 °C
Jerusalem,12.09,Warm.,27 °C
Vienna,11.09,Passing clouds. Mild.,19 °C
Johannesburg,11.09,Scattered clouds. Refreshingly cool.,16 °C
Warsaw,11.09,Passing clouds. Mild.,18 °C
Karachi,14.09,Broken clouds. Warm.,30 °C
Washington DC,05.09,Mostly cloudy. Mild.,22 °C
Kathmandu,14.54,Broken clouds. Warm.,26 °C
Winnipeg,04.09,Cool.,13 °C
Kingston,04.09,Warm.,30 °C
Yangon,15.39,Light rain. Partly sunny. Warm.,28 °C
Kinshasa,10.09,Partly sunny. Mild.,22 °C
Zagreb,11.09,Sunny. Mild.,20 °C
Kiritimati,23.09,Passing clouds. Warm.,27 °C
Zürich,11.09,Cool.,16 °C
Kolkata,14.39,Scattered clouds. Warm.,31 °C
,,,
