Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Target_Variable
10.5,21.2,110.4,5.2,52.1,9.5,30.8,150.2
12.1,24.5,126.3,6.0,60.8,11.2,35.9,172.5
9.8,19.7,103.2,4.9,49.2,8.9,29.1,140.8
15.3,30.8,158.1,7.6,76.9,14.1,45.5,218.9
11.2,22.6,117.5,5.5,56.3,10.4,33.2,160.4
8.5,17.2,89.4,4.2,42.8,7.8,25.1,122.1
14.8,29.9,153.6,7.3,74.2,13.5,44.1,210.3
13.6,27.4,141.2,6.7,68.4,12.4,40.5,194.8
10.1,20.5,106.8,5.0,50.9,9.2,30.0,145.6
16.2,32.6,167.4,8.0,81.2,14.9,48.2,230.5
9.4,19.0,98.5,4.6,47.3,8.5,27.8,135.2
11.9,24.1,124.7,5.9,59.7,10.9,35.3,170.1
13.2,26.5,137.8,6.5,66.3,12.0,39.4,188.7
14.5,29.3,150.1,7.2,72.9,13.3,43.0,207.2
10.8,21.9,112.5,5.3,54.4,9.8,32.1,155.3
12.7,25.6,132.4,6.3,63.8,11.6,37.8,181.9
15.9,31.9,163.2,7.9,79.6,14.6,47.1,226.8
8.9,18.1,94.1,4.4,44.9,8.1,26.5,128.4
13.9,27.9,144.5,6.9,69.7,12.7,41.3,198.6
11.5,23.2,119.8,5.7,57.6,10.6,34.4,165.7
14.2,28.7,147.3,7.1,71.4,13.0,42.4,204.1
9.1,18.5,96.3,4.5,45.8,8.3,27.0,131.5
12.4,25.1,129.6,6.2,62.4,11.4,36.9,178.2
15.6,31.4,160.9,7.8,78.3,14.3,46.6,223.4
10.3,20.9,108.7,5.1,51.8,9.4,30.6,148.9
