City,Local Time,Weather,Temperature
Accra,16.04,Scattered clouds. Warm.,29 °C
Kuwait City,19.04,Clear. Mild.,24 °C
Addis Ababa,19.04,Scattered clouds. Mild.,17 °C
Kyiv,18.04,Fog. Chilly.,4 °C
Adelaide,02.34,Cool.,16 °C
La Paz,12.04,Scattered clouds. Cool.,12 °C
Algiers,17.04,Partly sunny. Refreshingly cool.,15 °C
Lagos,17.04,Light rain. Partly sunny. Hot.,32 °C
Almaty,21.04,Fog. Chilly.,3 °C
Lahore,21.04,Clear. Mild.,19 °C
Amman,19.04,Haze. Mild.,22 °C
Las Vegas,08.04,Partly sunny. Cool.,11 °C
Amsterdam,17.04,Sunny. Chilly.,3 °C
Lima,11.04,Overcast. Mild.,19 °C
Anadyr,04.04,Overcast. Frigid.,-14 °C
Lisbon,16.04,Passing clouds. Refreshingly cool.,14 °C
Anchorage,07.04,Ice fog. Chilly.,-4 °C
London,16.04,Rain. Partly sunny. Quite cool.,7 °C
Ankara,19.04,Clear. Refreshingly cool.,14 °C
Los Angeles,08.04,Passing clouds. Cool.,11 °C
Antananarivo,19.04,Passing clouds. Mild.,21 °C
Madrid,17.04,Passing clouds. Cool.,10 °C
Asuncion,13.04,Passing clouds. Warm.,29 °C
Managua,10.04,Passing clouds. Warm.,30 °C
Athens,18.04,Mild.,20 °C
Manila,00.04,Passing clouds. Warm.,27 °C
Atlanta,11.04,Broken clouds. Mild.,21 °C
Melbourne,03.04,Light rain. Low clouds. Cool.,14 °C
Auckland,05.04,Overcast. Mild.,17 °C
Mexico City,10.04,Sunny. Refreshingly cool.,15 °C
Baghdad,19.04,Clear. Mild.,18 °C
Miami,11.04,Scattered clouds. Warm.,27 °C
Bangkok,23.04,Passing clouds. Mild.,24 °C
Minneapolis,10.04,Partly sunny. Chilly.,4 °C
Barcelona,17.04,Passing clouds. Cool.,12 °C
Minsk,19.04,Passing clouds. Chilly.,0 °C
Beijing,00.04,Chilly.,4 °C
Montevideo,13.04,Partly sunny. Mild.,18 °C
Belgrade,17.04,Overcast. Chilly.,3 °C
Montréal,11.04,Partly sunny. Chilly.,2 °C
Bengaluru,21.34,Partly cloudy. Mild.,22 °C
Moscow,19.04,Overcast. Chilly.,2 °C
Berlin,17.04,Clear. Chilly.,0 °C
Mumbai,21.34,Haze. Warm.,27 °C
Bogota,11.04,Partly sunny. Mild.,18 °C
Nairobi,19.04,Partly sunny. Mild.,23 °C
Boston,11.04,Light rain. Fog. Quite cool.,7 °C
Nassau,11.04,Scattered clouds. Warm.,27 °C
Brasilia,13.04,Partly sunny. Warm.,26 °C
New Delhi,21.34,Fog. Cool.,16 °C
Brisbane,02.04,Mild.,23 °C
New Orleans,10.04,Fog. Mild.,22 °C
Brussels,17.04,Sunny. Chilly.,2 °C
New York,11.04,Overcast. Cool.,8 °C
Bucharest,18.04,Passing clouds. Cool.,12 °C
Oslo,17.04,Chilly.,3 °C
Budapest,17.04,Light rain. Mostly cloudy. Chilly.,2 °C
Ottawa,11.04,Scattered clouds. Chilly.,1 °C
Buenos Aires,13.04,Passing clouds. Mild.,19 °C
Paris,17.04,Low clouds. Chilly.,-1 °C
Cairo,18.04,Haze. Pleasantly warm.,29 °C
Perth,00.04,Passing clouds. Mild.,18 °C
Calgary,09.04,Passing clouds. Chilly.,-1 °C
Philadelphia,11.04,More clouds than sun. Cool.,11 °C
Canberra,03.04,Rain. Mostly cloudy. Cool.,15 °C
Phoenix,09.04,Broken clouds. Refreshingly cool.,17 °C
Cape Town,18.04,Sunny. Mild.,23 °C
