iter	Passed	Remaining
0	132	132631
1	265	132476
2	396	131768
3	528	131624
4	658	131090
5	793	131484
6	921	130692
7	1050	130216
8	1181	130069
9	1312	129907
10	1442	129708
11	1570	129265
12	1696	128795
13	1831	128959
14	1966	129123
15	2098	129086
16	2235	129264
17	2365	129053
18	2493	128764
19	2621	128453
20	2754	128399
21	2885	128276
22	3017	128172
23	3142	127793
24	3276	127796
25	3411	127786
26	3541	127634
27	3671	127441
28	3801	127294
29	3930	127100
30	4061	126956
31	4191	126779
32	4319	126581
33	4449	126428
34	4579	126274
35	4712	126180
36	4841	126011
37	4967	125753
38	5096	125581
39	5226	125440
40	5357	125306
41	5492	125274
42	5622	125138
43	5754	125035
44	5886	124923
45	6018	124817
46	6150	124716
47	6278	124525
48	6405	124312
49	6532	124114
50	6662	123968
51	6790	123789
52	6918	123616
53	7048	123487
54	7178	123333
55	7307	123187
56	7437	123040
57	7568	122927
58	7697	122773
59	7828	122645
60	7958	122508
61	8088	122371
62	8223	122306
63	8352	122159
64	8486	122078
65	8616	121938
66	8749	121839
67	8883	121751
68	9012	121602
69	9141	121447
70	9270	121303
71	9400	121158
72	9527	120992
73	9655	120824
74	9783	120666
75	9914	120534
76	10040	120360
77	10168	120194
78	10299	120071
79	10429	119940
80	10556	119773
81	10686	119632
82	10819	119531
83	10946	119369
84	11073	119201
85	11205	119094
86	11337	118976
87	11467	118843
88	11598	118720
89	11727	118576
90	11858	118450
91	11988	118322
92	12118	118188
93	12246	118033
94	12378	117916
95	12506	117772
96	12637	117646
97	12766	117501
98	12897	117383
99	13029	117264
100	13160	117139
101	13293	117030
102	13425	116915
103	13555	116783
104	13681	116620
105	13815	116515
106	13946	116398
107	14075	116250
108	14203	116101
109	14336	115993
110	14467	115868
111	14598	115745
112	14730	115628
113	14862	115511
114	14996	115406
115	15130	115307
116	15259	115162
117	15388	115020
118	15522	114918
119	15656	114811
120	15784	114666
121	15913	114524
122	16046	114415
123	16177	114289
124	16304	114131
125	16432	113986
126	16564	113866
127	16694	113732
128	16825	113605
129	16952	113453
130	17082	113320
131	17211	113178
132	17340	113036
133	17473	112924
134	17600	112771
135	17731	112649
136	17862	112521
137	17994	112397
138	18125	112273
139	18252	112123
140	18381	111981
141	18508	111834
142	18638	111699
143	18772	111591
144	18907	111486
145	19033	111330
146	19162	111192
147	19288	111038
148	19413	110878
149	19546	110765
150	19678	110643
151	19809	110514
152	19937	110373
153	20065	110231
154	20194	110092
155	20323	109957
156	20452	109818
157	20582	109685
158	20708	109533
159	20839	109407
160	20968	109270
161	21098	109138
162	21226	108995
163	21358	108877
164	21493	108771
165	21627	108661
166	21754	108513
167	21885	108387
168	22016	108259
169	22147	108130
170	22274	107984
171	22404	107852
172	22536	107734
173	22668	107610
174	22793	107453
175	22925	107334
176	23056	107208
177	23188	107081
178	23314	106932
179	23445	106808
180	23576	106682
181	23708	106559
182	23838	106426
183	23968	106296
184	24096	106153
185	24224	106014
186	24354	105881
187	24483	105746
188	24613	105617
189	24743	105486
190	24875	105362
191	25006	105235
192	25137	105106
193	25265	104970
194	25397	104847
195	25527	104713
196	25658	104588
197	25785	104444
198	25915	104313
199	26045	104180
200	26173	104043
201	26302	103907
202	26427	103756
203	26555	103618
204	26686	103489
205	26816	103361
206	26946	103228
207	27073	103087
208	27199	102942
209	27327	102802
210	27455	102666
211	27587	102541
212	27717	102410
213	27845	102273
214	27976	102146
215	28103	102006
216	28238	101893
217	28365	101753
218	28496	101622
219	28626	101494
220	28755	101358
221	28882	101220
222	29013	101093
223	29144	100964
224	29270	100820
225	29398	100683
226	29527	100550
227	29655	100412
228	29784	100277
229	29913	100146
230	30040	100005
231	30167	99863
232	30297	99734
233	30425	99598
234	30552	99457
235	30680	99320
236	30807	99181
237	30936	99047
238	31064	98912
239	31191	98772
240	31322	98645
241	31450	98508
242	31581	98383
243	31707	98242
244	31834	98101
245	31962	97966
246	32091	97832
247	32219	97698
248	32344	97552
249	32472	97416
250	32601	97285
251	32728	97147
252	32857	97013
253	32984	96877
254	33111	96737
255	33239	96602
256	33367	96467
257	33496	96335
258	33622	96193
259	33748	96052
260	33877	95920
261	34003	95781
262	34132	95648
263	34260	95514
264	34390	95384
265	34519	95254
266	34650	95126
267	34781	95000
268	34912	94873
269	35042	94745
270	35171	94611
271	35299	94478
272	35423	94331
273	35555	94208
274	35682	94071
275	35809	93936
276	35935	93795
277	36061	93655
278	36189	93521
279	36317	93386
280	36444	93252
281	36572	93117
282	36699	92980
283	36826	92844
284	36957	92718
285	37082	92575
286	37211	92445
287	37337	92305
288	37463	92167
289	37592	92036
290	37719	91899
291	37846	91765
292	37973	91628
293	38102	91498
294	38231	91367
295	38357	91229
296	38485	91095
297	38609	90953
298	38736	90817
299	38864	90683
300	38996	90560
301	39125	90428
302	39251	90290
303	39377	90153
304	39503	90015
305	39629	89878
306	39755	89741
307	39880	89600
308	40011	89475
309	40140	89344
310	40266	89207
311	40394	89076
312	40525	88948
313	40654	88817
314	40778	88677
315	40907	88545
316	41034	88412
317	41160	88275
318	41289	88145
319	41417	88012
320	41546	87881
321	41673	87747
322	41803	87618
323	41936	87497
324	42065	87366
325	42198	87245
326	42322	87104
327	42457	86986
328	42582	86847
329	42717	86729
330	42843	86593
331	42972	86462
332	43100	86329
333	43228	86199
334	43360	86074
335	43488	85942
336	43612	85802
337	43748	85685
338	43875	85551
339	44004	85420
340	44134	85291
341	44264	85163
342	44390	85028
343	44513	84887
344	44640	84752
345	44767	84617
346	44893	84481
347	45017	84343
348	45144	84208
349	45267	84068
350	45391	83928
351	45517	83793
