id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,target
1,1.94,0.71,4.72,-1.88,-3.23,1.94,-11.19,-3.64,-0.13,-4.11,-1.24,0.96,0.51,3.16,5.03,3.21,2.48,-11.19,-0.33,2.48,11.54,0.5,0.96,-1.4,2.46,-3.49,5.03,2.46,-1.88,0.68,-5.84,-5.84,0.71,0.44,0.94,1.98,0.96,-2.11,5.03,1.7,3.54,-0.34,0.68,-1.37,-2.66,-3.49,3.54,3.54,0.38,-1.29,-1.24,-3.49,-11.19,4.39,-0.03,0.96,2.09,-1.24,3.16,0,-2.66,-1.54,3.21,2.38,-4.58,0.1,-4.11,-2.66,-2.11,-4.58,-3.49,3.16,-0.33,-4.58,0.71,-0.21,2.38,-0.07,0.68,1.6,-3.23,1.94,1.98,-2.11,3.16,-2.11,-4.58,-0.76,0.75,-2.66,1.05,3.21,-0.21,0.68,1.78,4.39,-4.11,-4.11,0.71,-1.88,1
2,2.92,1.46,0.13,-8.12,-5.07,2.92,-7.98,-0.47,0.83,-1.76,-0.82,-0.46,-0.9,-5.64,5.05,2.04,-5.1,-7.98,-3.78,-5.1,4.16,0.59,-0.46,0.64,2.84,4.42,5.05,2.84,-8.12,3.27,-5.89,-5.89,1.46,0.79,2.65,-10.72,-0.46,-2.5,5.05,-3.1,0.85,-0.68,3.27,0.22,-2.53,4.42,0.85,0.85,2.59,-0.86,-0.82,4.42,-7.98,1.68,-0.07,-0.46,1.8,-0.82,-5.64,0.85,-2.53,-0.22,2.04,-1.54,3.55,0.28,-1.76,-2.53,-2.5,3.55,4.42,-5.64,-3.78,3.55,1.46,-2.6,-1.54,0.9,3.27,0.17,-5.07,2.92,-10.72,-2.5,-5.64,-2.5,3.55,-1.44,-0.27,-2.53,-1.52,2.04,-2.6,3.27,0.91,1.68,-1.76,-1.76,1.46,-8.12,18
3,-1.67,-1.01,-0.41,10.73,-3.5,-1.67,0.04,0.29,0.51,2.37,0.94,3.8,0.78,-2.96,-2.93,-6.27,11,0.04,-3.65,11,-13.89,-0.21,3.8,0.32,-2.02,4.73,-2.93,-2.02,10.73,-3.11,5.48,5.48,-1.01,-0.33,-0.69,-1.86,3.8,3.07,-2.93,0.16,3.86,1.84,-3.11,-1.48,-0.27,4.73,3.86,3.86,-1.05,0.38,0.94,4.73,0.04,12.72,-1.21,3.8,-0.05,0.94,-2.96,1.21,-0.27,1.22,-6.27,-1.67,-4.29,-0.33,2.37,-0.27,3.07,-4.29,4.73,-2.96,-3.65,-4.29,-1.01,3.64,-1.67,-0.28,-3.11,-1.18,-3.5,-1.67,-1.86,3.07,-2.96,3.07,-4.29,-0.39,1.65,-0.27,-0.07,-6.27,3.64,-3.11,1.63,12.72,2.37,2.37,-1.01,10.73,13
4,3.66,-3.37,-0.87,-10.04,-2.77,3.66,0.29,2.11,-1.27,0.26,3.64,2.46,1.1,-2.12,3.66,-2.66,-4.9,0.29,-1.61,-4.9,0.53,0.17,2.46,-1.43,2.04,-3.64,3.66,2.04,-10.04,2.75,-3.5,-3.5,-3.37,-1.36,-1.28,-3.27,2.46,0.44,3.66,1.04,-2.92,1.6,2.75,-0.68,2.87,-3.64,-2.92,-2.92,-0.6,-0.6,3.64,-3.64,0.29,0.88,1,2.46,-0.18,3.64,-2.12,-0.93,2.87,0.57,-2.66,-3.09,-8.63,-5.07,0.26,2.87,0.44,-8.63,-3.64,-2.12,-1.61,-8.63,-3.37,3.42,-3.09,-0.38,2.75,1.36,-2.77,3.66,-3.27,0.44,-2.12,0.44,-8.63,-0.63,2.23,2.87,-1.22,-2.66,3.42,2.75,-0.13,0.88,0.26,0.26,-3.37,-10.04,9
5,9.68,-4.61,0.45,5.01,0.25,9.68,4.42,-3.54,0.4,1.88,4.54,-2.01,-0.77,9.41,-3.12,-6.67,6.24,4.42,0.22,6.24,-9.54,2.07,-2.01,-0.75,-3.8,1.8,-3.12,-3.8,5.01,-3.76,-6.88,-6.88,-4.61,-2.02,0.49,11.86,-2.01,4.94,-3.12,1.2,-1.1,-1.09,-3.76,-1.83,0.37,1.8,-1.1,-1.1,2.01,0.14,4.54,1.8,4.42,-2.14,1.34,-2.01,-0.76,4.54,9.41,0.64,0.37,1.4,-6.67,-3.8,-2.76,-2.73,1.88,0.37,4.94,-2.76,1.8,9.41,0.22,-2.76,-4.61,-0.81,-3.8,-1.47,-3.76,0.75,0.25,9.68,11.86,4.94,9.41,4.94,-2.76,1.73,0.39,0.37,-1.3,-6.67,-0.81,-3.76,0.08,-2.14,1.88,1.88,-4.61,5.01,7
6,-1.05,0.83,3.69,1.18,1.99,-1.05,1.59,0.12,0.5,0.71,-0.77,3.58,-1.62,-9.04,-0.36,-4.17,8.99,1.59,-0.32,8.99,0.06,-0.45,3.58,0.87,2.34,1.17,-0.36,2.34,1.18,2.83,12.28,12.28,0.83,0.01,-0.84,-9.52,3.58,1.77,-0.36,-0.81,-1.31,1.03,2.83,0.76,-2.51,1.17,-1.31,-1.31,0.16,0.56,-0.77,1.17,1.59,-0.44,-0.17,3.58,0.93,-0.77,-9.04,0.66,-2.51,0.23,-4.17,-0.52,-5.02,0.88,0.71,-2.51,1.77,-5.02,1.17,-9.04,-0.32,-5.02,0.83,-0.48,-0.52,0.67,2.83,-0.88,1.99,-1.05,-9.52,1.77,-9.04,1.77,-5.02,0.4,-1.37,-2.51,-1.15,-4.17,-0.48,2.83,-0.54,-0.44,0.71,0.71,0.83,1.18,7
7,-2.78,4.19,2.46,5.58,-5.7,-2.78,-6.9,0.33,-1.5,-2.5,0.69,5.65,-2.48,-16.06,0.18,-1.62,2.19,-6.9,2.55,2.19,24.27,0.04,5.65,0.24,2.93,-0.01,0.18,2.93,5.58,3.21,4.76,4.76,4.19,1.48,-1.27,-24.25,5.65,0.95,0.18,1.05,-2,0.69,3.21,0.35,-1.36,-0.01,-2,-2,5.23,0.44,0.69,-0.01,-6.9,8.66,-2.05,5.65,-1.15,0.69,-16.06,-1,-1.36,-1.49,-1.62,4.19,-4.01,4.62,-2.5,-1.36,0.95,-4.01,-0.01,-16.06,2.55,-4.01,4.19,-1.12,4.19,-0.56,3.21,0.49,-5.7,-2.78,-24.25,0.95,-16.06,0.95,-4.01,0.68,-1.18,-1.36,0.95,-1.62,-1.12,3.21,-1.33,8.66,-2.5,-2.5,4.19,5.58,11
8,-2.14,0.68,-3.24,1.57,-3.06,-2.14,-7.85,0.68,0.2,-3.31,4.32,4.62,-0.71,-0.38,-2.69,0.47,-5.81,-7.85,-4.65,-5.81,0.49,0.36,4.62,0.41,-2.73,2.59,-2.69,-2.73,1.57,-2.58,-2.16,-2.16,0.68,-0.13,1.03,1.89,4.62,4.06,-2.69,0.21,-0.12,-0.19,-2.58,0.5,6.96,2.59,-0.12,-0.12,1.85,0.7,4.32,2.59,-7.85,17.77,-0.82,4.62,0.36,4.32,-0.38,0.39,6.96,-1.12,0.47,-0.34,-16.34,2.23,-3.31,6.96,4.06,-16.34,2.59,-0.38,-4.65,-16.34,0.68,6.33,-0.34,-1.42,-2.58,0.11,-3.06,-2.14,1.89,4.06,-0.38,4.06,-16.34,0.75,-0.97,6.96,0.17,0.47,6.33,-2.58,-0.31,17.77,-3.31,-3.31,0.68,1.57,6
9,22.95,-3.77,-1.37,-3.27,1.29,22.95,7.58,4.37,0.17,-0.69,-3.96,-7.3,-1.32,-9.35,-3.97,-2.63,-10.71,7.58,-3.08,-10.71,-12.11,0.13,-7.3,-0.49,-0.3,-3.43,-3.97,-0.3,-3.27,4.04,10.26,10.26,-3.77,1.55,0.57,-10.39,-7.3,-0.1,-3.97,0.19,-4.62,-0.09,4.04,0.2,-3.37,-3.43,-4.62,-4.62,-4.5,-0.11,-3.96,-3.43,7.58,-15.64,0.03,-7.3,0.59,-3.96,-9.35,-0.38,-3.37,-0.6,-2.63,-6.46,9.13,5.21,-0.69,-3.37,-0.1,9.13,-3.43,-9.35,-3.08,9.13,-3.77,-5.78,-6.46,0.1,4.04,0.71,1.29,22.95,-10.39,-0.1,-9.35,-0.1,9.13,-0.47,0.3,-3.37,-0.68,-2.63,-5.78,4.04,-0.41,-15.64,-0.69,-0.69,-3.77,-3.27,13
10,-4.66,-1.46,-5.71,-1.02,0.15,-4.66,-8.73,2.9,0.65,-3.82,0.9,2.34,0.34,-6.72,0.8,3.66,-7.04,-8.73,-1.37,-7.04,-5.79,-0.01,2.34,-1.53,-1.9,0,0.8,-1.9,-1.02,4.65,6.63,6.63,-1.46,1.23,-0.15,-3.51,2.34,0.91,0.8,0.66,-0.88,0.32,4.65,1.96,-1.14,0,-0.88,-0.88,1.78,1.95,0.9,0,-8.73,-1.21,0.13,2.34,0.77,0.9,-6.72,0.07,-1.14,-0.37,3.66,0.03,-1.31,0.75,-3.82,-1.14,0.91,-1.31,0,-6.72,-1.37,-1.31,-1.46,3.27,0.03,1.51,4.65,-2.53,0.15,-4.66,-3.51,0.91,-6.72,0.91,-1.31,0.52,-0.89,-1.14,0.8,3.66,3.27,4.65,-0.65,-1.21,-3.82,-3.82,-1.46,-1.02,14
